app,number_of_participants,camera,microphone,duration_in_minutes,joules
Zoom,2,False,False,3.0,436.5882
Zoom,2,False,False,3.0,435.10823999999997
Zoom,2,False,False,3.0,433.62828
Zoom,2,False,False,3.0,433.62828
Zoom,2,False,False,3.0,435.10823999999997
Zoom,2,False,False,3.0,452.86776000000003
Zoom,2,False,False,3.0,427.70844
Zoom,2,False,False,3.0,433.62828
Zoom,2,False,False,3.0,443.988
Zoom,2,False,False,3.0,427.70844
Zoom,2,False,False,3.0,432.14832
Zoom,2,False,False,3.0,430.66836
Zoom,2,False,False,3.0,427.70844
Zoom,2,False,False,3.0,430.66836
Zoom,2,False,False,3.0,427.70844
Zoom,2,False,False,3.0,432.14832
Zoom,2,False,False,3.0,433.62828
Zoom,2,False,False,3.0,435.10823999999997
Zoom,2,False,False,3.0,429.1884
Zoom,2,False,False,3.0,429.1884
Zoom,2,False,True,3.0,415.03176
Zoom,2,False,True,3.0,418.0176
Zoom,2,False,True,3.0,421.00343999999996
Zoom,2,False,True,3.0,419.51052000000004
Zoom,2,False,True,3.0,418.0176
Zoom,2,False,True,3.0,432.9468
Zoom,2,False,True,3.0,419.51052000000004
Zoom,2,False,True,3.0,422.49636000000004
Zoom,2,False,True,3.0,422.49636000000004
Zoom,2,False,True,3.0,425.48220000000003
Zoom,2,False,True,3.0,429.96096
Zoom,2,False,True,3.0,421.00343999999996
Zoom,2,False,True,3.0,418.0176
Zoom,2,False,True,3.0,422.49636000000004
Zoom,2,False,True,3.0,421.00343999999996
Zoom,2,False,True,3.0,419.51052000000004
Zoom,2,False,True,3.0,425.48220000000003
Zoom,2,False,True,3.0,421.00343999999996
Zoom,2,False,True,3.0,426.97512
Zoom,2,False,True,3.0,423.98927999999995
Zoom,5,True,True,3.0,945.9741600000001
Zoom,5,True,True,3.0,1239.19668
Zoom,5,True,True,3.0,1150.7878799999999
Zoom,5,True,True,3.0,1197.93924
Zoom,5,True,True,3.0,960.7089600000002
Zoom,5,True,True,3.0,1187.6248799999998
Zoom,5,True,True,3.0,991.6520399999998
Zoom,5,True,True,3.0,982.8111600000002
Zoom,5,True,True,3.0,1041.7503600000002
Zoom,5,True,True,3.0,971.02332
Zoom,5,True,True,3.0,1180.25748
Zoom,5,True,True,3.0,1175.83704
Zoom,5,True,True,3.0,973.97028
Zoom,5,True,True,3.0,960.7089600000002
Zoom,5,True,True,3.0,954.81504
Zoom,5,True,True,3.0,981.33768
Zoom,5,True,True,3.0,1211.2005600000002
Zoom,5,True,True,3.0,1197.93924
